id,name,host_id,host_name,zip_code,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
l_155305,Cottage! BonPaul + Sharky's Hostel,h_746673,BonPaul,28806,West Asheville,35.57864,-82.59578,Entire home/apt,95,1,454,2025-06-14,2.69,8,162,16
l_197263,Tranquil Room & Private Bath,h_961396,Timothy,28806,West Asheville,35.57735,-82.63804,Private room,44,2,87,2024-09-08,0.56,2,73,5
l_209068,Terrace Cottage,h_1029919,Kevin,28804,South Asheville,35.61764144897461,-82.55181884765625,Entire home/apt,90,30,67,2025-05-03,0.4,1,268,2
l_246315,Asheville Dreamer's Cabin,h_1292070,Annie,28805,East Asheville,35.59615,-82.50635,Private room,61,7,53,2019-10-30,0.32,3,62,0
l_314540,Asheville Urban Farmhouse Entire Home 4.6 mi to DT,h_381660,Tom,28806,West Asheville,35.58561,-82.62731,Entire home/apt,200,1,35,2025-06-13,0.22,1,139,11
l_427497,Luxurious Mountain Guest Suite Apartment,h_1909922,Milan,28803,Tuxedo Park,35.49088,-82.48602,Entire home/apt,148,2,47,2023-09-04,0.31,1,362,0
l_436476,"8 min Walk to DT AVL! Hip, Chic % Sparkling CLEAN",h_478398,Heidi,28801,Downtown Asheville,35.60153,-82.5604,Entire home/apt,,2,410,2024-06-26,2.58,3,0,1
l_483384,"Romantic, Moroccan-Influenced Cottage",h_467421,Camille,28806,West Asheville,35.56921,-82.57349,Entire home/apt,107,1,820,2025-06-14,6.28,2,293,44
l_483396,Frida Inspired Home,h_467421,Camille,28806,West Asheville,35.57039,-82.57359,Entire home/apt,143,2,70,2015-10-03,0.44,2,224,0
l_621243,"The Birdhouse
Sweet suite! Downtown Roof top deck!",h_3079174,Molly,28801,Downtown Asheville,35.60415,-82.54893,Entire home/apt,143,30,146,2024-08-21,1.66,1,256,4
l_660702,Cozy Asheville Retreat,h_3335271,Brady,28804,South Asheville,35.621288,-82.553017,Entire home/apt,77,1,823,2025-06-01,7.24,1,353,42
l_674894,Lovely mountain home with a view!,h_614610,Linda,28805,East Asheville,35.62277,-82.50258,Private room,52,2,257,2024-05-27,1.74,2,351,0
l_723349,#2 Blue Ridge Room at Oakland Cottage B&B,h_3736218,Mary,28801,Downtown Asheville,35.57468,-82.55705,Private room,211,2,14,2022-11-27,0.11,7,179,0
l_815068,"Lovely cottage 10 minutes north, quiet.",h_1111171,Thomas,28804,South Asheville,35.64371,-82.52456,Entire home/apt,73,30,313,2025-03-31,2.06,1,205,1
l_840696,❤VIEWS! Luxury home near DOWNTOWN close 2 Biltmore,h_4390477,Michael,28801,Downtown Asheville,35.58371,-82.56111,Entire home/apt,218,2,600,2025-06-10,3.96,1,355,12
l_846221,Town and Mountain Peaceful Retreat,h_4418555,Bart,28804,South Asheville,35.643550872802734,-82.51139831542969,Entire home/apt,168,2,125,2024-07-28,0.84,1,140,1
l_875735,Asheville artist  bungalow. 3 minutes to downtown,h_4632589,Jason,28805,East Asheville,35.58513,-82.50484,Private room,51,2,223,2025-05-27,1.54,1,357,11
l_881707,West A'ville sanctuary in the trees,h_4664726,Maria,28806,West Asheville,35.56754,-82.59657,Entire home/apt,86,2,1096,2025-06-16,7.69,3,330,70
l_942934,"""ZenShe"" ... Very Clean, Quiet and Convenient",h_5100332,Pat,28806,West Asheville,35.57244,-82.58949,Private room,66,2,697,2025-06-02,4.67,1,171,27
